400 0.102253 0.016475 0.0192249 6.20657 5.31878
1000 1.60738 0.236188 0.270491 6.80553 5.94247
1400 4.45925 0.641354 0.731957 6.95286 6.09223
2000 12.9496 1.8541 2.11235 6.98432 6.13045
